name,price,brand,description,quantity,featured,image_url,kind,category,country_origin
ProCo RAT 2,48,ProCo,"The ProCo RAT ranks as one of the most widely used distortion pedals ever, a favorite of such disparate musicians as Jonny Greenwood, Nels Cline, Kurt Cobain and John Scofield. The ProCo RAT 2 emerged in 1988 and continues to be a popular pedalboard staple for both guitarists and bass players with its characteristic jagged gristle, courtesy of the legendary LM308 chip.",200,FALSE,"https://images.reverb.com/image/upload/s--w_Se1HnK--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1469548369/cswzgxfwgiigwvun5heg.jpg",value,Distortion,United States
Rowin LEF-314 Delay,59,Rowin,"Pure analog Whole circuit delay, clear, plump and smooth new delay effect. True bypass provide transparent tone,LED indicator shows the working state. 3 Knobs, ECHO is mix, TIME for 20-620ms delays, FEEDBACK is the repetions. Original manufacturer for this delay pedal. Solid buid with whole aluminum Shell.Organic sounding analog delay pedal combining the sounds of classic tape / echo delay with modern delay design to produce an extremely versatile sounding delay pedal.",200,FALSE,"https://images.reverb.com/image/upload/s--3-xKJzG5--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1505868180/s9fyrhinfs8yetwwhlfs.jpg",value,Delay,China
Soul Food Overdrive,44,Electro-Harmonix,"The Electro-Harmonix Soul Food pedal seeks to mimic the classic Klon Centaur tone and succeeds in fooling most ears. The real value, however, is recognized by discerning listeners who appreciate the original and satisfying sonic territory that the EHX Soul Food overdrive provides in the spaces where it differs from the Klon.",200,FALSE,"https://images.reverb.com/image/upload/s--lMF8WCOS--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1460144914/gqexc29wbdlh1gam91fq.jpg",value,Overdrive,United States
Super Fuzz SF300,89,Behringer,"Behringer has been a German professional audio equipment outfit for some time, but they didn't produce effects pedals until 2005. Their affordable line of standard effects is similar to the Boss line of stompboxes, though at entry level prices. ",200,FALSE,"https://images.reverb.com/image/upload/s--7i9z2P-8--/f_auto,t_supersize/v1446748743/arhcfttepw7ktzqkaszm.jpg",value,Fuzz,China
Boss SD1 Overdrive,77,Boss,"  SD-1: Super OverDrive   The SD-1 Super OverDrive pedal produces the warm, natural distortion of an overdriven tube amplifier while maintaining the subtle nuances of a player's picking technique. This is one of BOSS' more subtle and smooth overdrive pedals, perfect for blues and rock.   Features: -Compact overdrive pedal with warm, smooth overdriven sounds -Unique asymmetric overdrive circuitry for a classic, natural tube amp growl -Tone control provides precise adjustment of drive sound.",200,FALSE,"https://images.reverb.com/image/upload/s--481c4NcB--/f_auto,t_supersize/v1543863289/x8bgkwkqivyekgm1e1vv.png",value,Overdrive,Japan
Big Muff Tone Wicker,89,electro-Harmonix,"Sporting the same muscle as the standard Big Muff Pi with the addition of a three-way tone wicker switch for light or heavy treble boost, the Big Muff with Tone Wicker combines classic fuzz tones with added versatility. From classic to fierce, the Tone Wicker serves up fuzz any way you want it.",200,FALSE,"https://images.reverb.com/image/upload/s--KiBwYvGq--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1460392854/xw0va00yuqrg1cldr393.jpg",value,Fuzz,United States
Vintage Delay VD400,89,Behringer,"The Behringer VD400 Vintage Analog Delay Effects Pedal is a guitar effect pedal that recreates the vintage analog delays of the past. The VD400 is a well suited alternative to modern digital delays, replacing the warmth, tone and grit of true analog delay effects. Guitarists can create delays of up to 300ms.",200,FALSE,"https://images.reverb.com/image/upload/s--W6yO334Y--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1487604646/slcnth3nkqi2f3hxektm.jpg",value,Delay,China
Vintage Tube Overdrive,62,Behringer,"The Behringer TO800 Vintage Tube Overdrive gives you the classic ""screaming"" tones of one of the most famous vintage guitar overdrive pedals. Using a 4558 IC chip and MA150 diodes for a familiar sound and response, the TO800 Vintage Tube Overdrive emulates the definitive Japanese drive pedal for killer breakup at an insanely affordable price.",200,FALSE,"https://images.reverb.com/image/upload/s--L3Lm2nQM--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1477932305/jjsa7ox637gnsfnsgv5l.jpg",value,overdrive,China
Voodoo Octave Fuzz,58,Joyo,"The Joyo JF-12 Voodoo Octave is a tripped-out fuzz pedal with more extensive tone control and a switchable octave-up feature. Run through a range of seething fuzz sounds, sculpting as needed with the tone control as well as a mid-cut switch for a more modern ""scooped"" sound. When it's time to come into a big lead or melody line, stomp onto the Octave Up switch for some serious upper harmonic push that gets really weird really quickly -- in the good way. Rounded out by a sturdy, road-worthy enclosure and true bypass, the Voodoo Octave is an awesome inexpensive option for anyone in need of an octave fuzz.",200,FALSE,"https://images.reverb.com/image/upload/s--lNruY9ee--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1477507495/lufs1wyjtsjnr7wvtrju.jpg",value,Fuzz,China
Seymour Duncan Vapor Trail,65,Seymour Duncan,"The Seymour Duncan Vapor Trail analog delay pedal uses classic bucket brigade circuitry with some additional useful features. With traditional controls for Mix, Repeats and Delay, the Vapor Trail also features Rate and Depth knobs to add modulation and a blinking LED in the Delay knob that blinks in time with the rate of the delay. It also offers a TRS wet insert to send the wet signal to other effects, separate the wet and dry signals to two different outputs, or to plug in an expression pedal for hands-free control over the amount of wet signal. The Vapor Trail has been used by such artists as Peter Frampton, Jeff Tweedy of Wilco, Alex Skolnick, Monte Pittman, Oz Noy, Don Alder, Robin Finck of Nine Inch Nails, and Troy VanLeeuwen of Queens of the Stone Age.",200,TRUE,"https://images.reverb.com/image/upload/s--BG6aLy22--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1461602393/truiibv9hpqupjigpmti.jpg",value,Delay,United States
Boss JB-2 Angry Driver,186,Boss,"Combining the warm breakup of the Blues Driver circuit with the snarling high-gain power of the JHS Angry Charlie circuit in one pedal, the Boss JB-2 Angry Driver boasts an entire world of overdrive tones in one pedal. Three simple controls for Level, Tone, and Drive let you tweak to your liking while the secret-weapon Mode knob gives you six different tonal options from running the circuits separately to feeding them into one another to running them in parallel. Crunch, punch, and creamy saturation, all in one box.",200,TRUE,"https://images.reverb.com/image/upload/s---42PxaP5--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_620,q_90,w_620/v1506365199/dgkxy3vai87l1iuznvoo.jpg",standard,Overdrive,Japan
ARP-87 Delay,162,Walrus Audio,"Built with four delay algorithms, momentary feedback tap, and optional delay trails, the Walrus Audio ARP-87 Multi-Function Delay rockets your rig into a universe of tone from analog warmth to crystal digital repeats.",10,FALSE,"https://images.reverb.com/image/upload/s--BhOBb53R--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_620,q_90,w_620/v1502579710/iv15yze6a4lrmv8vgk6o.jpg",standard,Delay,United States
JHS AT Plus Andy Timmons Overdrive,154,JHS,"The JHS Pedals AT is Andy Timmons signature overdrive pedal that gives Andy his unmistakable lead and rhythm tone. Upon purchasing a JHS Angry Charlie in 2013, Andy began using it as his primary tone and soon after got in touch with Josh Scott about modifying it for his needs. Through going back and forth and tailoring it to Andy""s tastes, the ""@"" was born and eventually released into production in 2016. This pedal gives you all the soaring overdrive and distortion that you hear from Andy with plenty of options to craft your tone with your rig. So pay ATtention and we*ll see what makes the AT rock.",200,FALSE,"https://images.reverb.com/image/upload/s--7OcpbGQH--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1519237741/atzzaxd6sl53xuucpkc7.jpg",standard,Distortion,United States
Keeley Fuzz Bender,236,Keeley,"The Keeley Fuzz Bender is a 5 knob, 3 transistor modern fuzz using a combination of high-gain silicon and silky smooth germanium. What makes fuzz better? Active EQ. Using two gyrators as an active EQ gives you the ability to create massive fuzz tones not possible with typical square-wave boxes. Pummel your amp with over 20dB of boost/cut at 100Hz and 10K Hz. The Fuzz Bender is built around vintage Japanese germanium to create its monumental fuzz tones.",200,FALSE,"https://images.reverb.com/image/upload/s--w7qqi4NE--/f_auto,t_large/v1552577956/j5gsbwb7449mopodv1ma.jpg",standard,Fuzz,United States
JHS Bonsai Overdrive,189,JHS,"Billed by company founder Josh Scott as ""a study in the Tube Screamer,"" the JHS Bonsai Overdrive houses nine painstakingly recreated classic OD circuits in one pedal for decades of searing tone in a single compact pedal. Built to the exact specifications of vintage models owned by Josh himself, the Bonsai starts with monoliths like the original TS-808 and TS9 and goes through decades of tonal evolution with surprise options like a Polish Exar OD1 as well as Keeley and JHS fan-favorite modifications. A garden of wonder for any overdrive fanatic.",10,FALSE,"https://images.reverb.com/image/upload/s--kMJEfnvs--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1518636336/bkpkefmnvfaic2lzhacp.jpg",standard,Overdrive,United States
Canyon Delay & Looper,131,electro-Harmonix,"The Electro-Harmonix Canyon Delay & Looper Pedal is a marvel of size, packing a world of digital delay styles and features into a chassis that fits on the palm of your hand. Laid out with an intuitive four-knob design of delay, feedback and effect level, the fourth knob allows you to select from 11 modes ranging from the analog presence of a Memory Man emulation to a freezing Sample and Hold mode. As if that weren't enough, the Canyon contains a 62 second looper, tails switch, and unprecedented tap tempo divide for one of the most versatile delays in this price range.",200,TRUE,"https://images.reverb.com/image/upload/s--RU_IkrDK--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1490724947/u8efc6h2s6o26vbgxyfo.jpg",standard,Delay,United States
Carbon Copy Deluxe,231,MXR,"The MXR M292 Carbon Copy Deluxe expands one of the best-loved analog delays on the market with a host of features like longer delay time, chorus modulation, and a versatile tap tempo function.
",200,FALSE,"https://images.reverb.com/image/upload/s--hTSAMmjr--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1500479039/vtwzsy3u6azphohkrw7u.jpg",standard,Delay,United States
JHS The Crayon Overdrive,181,JHS,"The JHS Pedals The Crayon is an overdrive pedal that is a smaller version of the JHS Colour Box pedal and emulates the distorted tones of a guitar plugged directly into a vintage British studio preamp, most notably heard in the guitar intro to The Beatles’ “Revolution.” Featuring master, pre-volume and EQ knobs, as well as a high-pass filter switch, the pedal is capable of fuzz, distortion, and overdrive tones.",200,FALSE,"https://images.reverb.com/image/upload/s--plxK2Oci--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1460393032/gelpydohnjukuak0b6n9.jpg",standard,Distortion,United States
Boss DD-7,93,Boss,"The newest offering in a long line of digital delay pedals, the Boss DD-7 Digital Delay offers more delay time, looping ability, a modulated mode and a simulation of the classic Boss DM-2. With stereo outputs and an external expression pedal jack, the DD-7 is mothership-level delay in a reliable, compact Boss box.",200,FALSE,"https://images.reverb.com/image/upload/s--W3_cdlmA--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1461088851/ooky1c3jjytzlkzqryxs.jpg",standard,Delay,Japan
The Eisenhower Fuzz,138,Danelectro,"Over the top Fuzz with super hot Octave effect. A mint example will cost you plenty, but it still will not sound half as good as this. Danelectro has amped the gain and added EQ. Delicious harmonics with super “out front” octave. Sculpt setting scoops mids and boosts bass for outrageous “in your face” tone. Such Fun!",200,FALSE,"https://images.reverb.com/image/upload/s--CGGV5_RI--/f_auto,t_supersize/v1551766866/j2qhnw4fnnr5emgftmgd.jpg",standard,Fuzz,United States
JHS Kilt Overdrive,151,JHS,"The JHS Kilt V2 is an ""Expandora style dirt box"" that delivers a huge range of different dirt tones. Built around a core op-amp-based drive circuit, the Kilt offers toggles for cut/flat EQ control, along with a G1 and G2 toggle that adjust resistance values in the clipping section to foster a wide range of different drive flavors. In effect, the Kilt is capable of delivering a massive range of different dirt sounds, from light overdrive to full-on fuzz. Compared the V1 of this pedal, the V2 offers a more compact enclosure and the ability to control the G2 toggle via an external JHS Red Remote.",200,FALSE,"https://images.reverb.com/image/upload/s--dzX0Wq6B--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1509551091/rllwbw6dvjgyqfw0adsd.png",standard,Overdrive,United States
Deluxe Memory Man 1100-TT,135,electro-Harmonix,"The Electro-Harmonix Deluxe Memory Man 1100-TT takes the platform of what is probably the most widely-used analog delay of all time and tacks on modern features like tap tempo, expression pedal control, and an effects loop. With five subdivisions and full control over the rate and depth of the delay, all of the sound you know and love from the Deluxe Memory Man are here, though with the 1100-TT you can precisely tap in the tempo and control the blend, feedback and more with your favorite expression pedal. Leverage the onboard FX loop when you want to run other effects into the delay without changing your dry sound, and never want for another delay pedal.",200,FALSE,"https://images.reverb.com/image/upload/s--1xRHNGev--/f_auto,t_large/v1526447040/gr7gtpuosq18vp4pm1i3.jpg",standard,Delay,United States
JHS Morning Glory V4 Overdrive,212,JHS,"Featuring double the headroom as the previous model, a new boost mode incorporated into the gain toggle and a tap switch input for essentially serving up two pedals in one on the fly, the JHS Morning Glory V4 brings even more gain-laden sparkly goodness than ever before. Still able to dial in that perfect transparent overdrive in a wide range of gain from bluesy warmth to screaming breakup, this flagship of JHS retains its place as the centerpiece firework on any board.",200,FALSE,"https://images.reverb.com/image/upload/s--qsIl_MDe--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1460393067/mgysvzrt9fdjou7ovris.jpg",standard,Overdrive,United States
Fender MTG Distortion,168,Fender,"Few things are as satisfying as the real-deal distortion sound of glowing glass—vacuum tubes are responsible for the tones you fell in love with. MTG: LA is a tube distortion pedal based around a genuine, U.S.-made NOS 6205 preamp tube. Tone, Bass, Treble and Tight controls make it easy to shape your sound, while the distinctly Fender footswitchable Boost adds Volume, Gain or both to make your solos stand out.",200,FALSE,"https://images.reverb.com/image/upload/s--YYmdJDtq--/f_auto,t_supersize/v1563402084/tgxmars1f4v6bix2vyhr.jpg",standard,Distortion,United States
Fender The Pelt Fuzz,224,Fender,"Silicon Fuzz Guitar Effects Pedal with Level, Fuzz, Tone, and Bloom Knobs; and Mid and Thick SwitchesAn Adaptable Take on a Classic FuzzFuzz is tasty — every guitarist on the planet loves splatty, glitchy fuzz. It's been a cornerstone of rock tone since the early days. If you want to add this indispensable sound to your pedalboard, the Fender Pelt Fuzz is a blue-ribbon choice. This silicon fuzz pedal has all the usual controls, such as Level, Fuzz, and Tone; but its Bloom control is what really sets it apart, allowing you to mold the contours of your sound. Beyond that, a Mid switch boosts or cuts your midrange for even more tonal textures, while a Thick switch injects your sound with a bit of girth and muscle. The Pelt is a killer fuzz. Guitarists in search of a new sonic secret weapon owe it to themselves to stomp on one.",10,FALSE,"https://images.reverb.com/image/upload/s--oNFI0w-w--/f_auto,t_supersize/v1534871103/htj05fth4ossgyenph4c.png",standard,Fuzz,United States
Pinnacle Distortion,131,Wampler,"Dubbed by Eddie Van Halen's guitar tech as the best ""brown sound"" distortion pedal, the Wampler Pinnacle also comes in a Deluxe version. Get the high-gain, touch of reverb/phase sound that defined the early '80s West Coast scene.",200,FALSE,"https://images.reverb.com/image/upload/s--ZoYvmo0O--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1433443607/au8ve4hdlifislq6g2km.jpg",standard,Distortion,United States
La Super Rica Fuzz,113,Seymour Duncan,"Bringing together a faithfully-recreated '70s-era silicon fuzz circuit with modern, nuanced controls like mid level and frequency knobs and a three-way fat/lean/normal switch, the Seymour Duncan La Super Rica Fuzz captures classic ripping tone in a versatile package. Craft doomy, stoner metal tones with enough room-filling gain to dial in tones from a scooped Muff-like roar to a searing sting impossible to miss in any mix. A welcome companion for any fuzz aficionado.",200,FALSE,"https://images.reverb.com/image/upload/s--mSE2httT--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1519160226/kiv1hs7ehpdenylza98r.jpg",standard,Fuzz,United States
Sovereign Distortion,175,Wampler,"To a discerning and devoted league of tone chasers, Brian Wampler is The King when it comes to organic, convincing and inspiring dirt tones. Thus we thought it only fitting to name Brian’s latest pedal – a simple Distortion pedal – The Sovereign. A little presumptuous, you might say? No, we think this is a pedal that lives up to its name. Oh, yes. From cream to ream; thrash to powder puff; hellacious burn to heavenly soothe; The Sovereign will do it for you. Truly. You see, Brian was asked by a very convincing and influential client (whom we shall name later) to make, a “simple distortion pedal”. Let’s think for a moment about the amazing “distortion” pedals Brian has already given us: The Plexi series, the SLOstortion, The ubiquitous Pinnacle and others. ",200,FALSE,"https://images.reverb.com/image/upload/s--hVoW9M_n--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1481191115/rqw0e2nzlhyioamip1jz.jpg",standard,Distortion,United States
SuperBolt Overdrive,221,JHS,"Built with the same vintage crunch-laden drive, volume and tone knobs and discrete overdrive circuit with the addition of a two-way gain setting toggle and tap switch input jack for fast switching between modes, the JHS SuperBolt V2 shocks any rig into believing it's a vintage Supro amplifier. Capable of taking your tone from a jazzy warm boost all the way to Jack White or Jimmy Page-esque vintage tube breakup, the new SuperBolt captures decades of legendary rock and blues tones in a single compact box.",200,FALSE,"https://images.reverb.com/image/upload/s--lwOtJx7r--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1460572303/moikw2isfq1vtmvjlj9v.jpg",standard,Overdrive,United States
The Trapper Dual Fuzz,110,Fender,"Ranging from smooth and polite to sputtering and broken-sounding, this effect is the heart of rock and roll. The Trapper combines two discrete fuzz voices into one chassis with global Tone and Contour controls to shape your sound to taste. The softer-sounding first voice includes a switchable high octave—perfect for generating synth-like tones—while the grittier second voice includes a highly interactive noise gate. Designed by our in-house team of experts, the Trapper Dual Fuzz is an all-original Fender circuit. ",200,FALSE,"https://images.reverb.com/image/upload/s--4A8_ciDH--/f_auto,t_supersize/v1563401985/gyyniorhfljbb7al8cof.jpg",standard,Fuzz,United States
Double Barrel Overdrive,407,JHS,"The Double Barrel V4 Overdrive from JHS packs the brand-new Moonshine V2 circuit on the right and the Morning Glory V4 on the right. The Moonshine V2 captures the same classic mid-heavy overdrive tones, but with the addition of a clean knob for blending your clean and affected signals. Meanwhile, the Morning Glory V4 overdrive features a new high-gain toggle with Red Remote capability, allowing users to plug the Red Remote directly into the ""remote gain"" jack with a standard patch cable for even more gain-rich tonal options. akes the classic, versatile but transparent overdrive circuit to a",200,TRUE,"https://images.reverb.com/image/upload/s--hLZ3hgDt--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1499963150/qhicaesr1wnnyx8ebpmn.jpg",premium,Overdrive,United States
Beelzebuzz Distortion,416,Union Tube & Transistor,"We couldn't be more excited to add Union Tube & Transistor to the fleet! These pedals represent everything that we love in a stompbox: amazing tone, studio grade components, and a highly practical design that makes it easy to dial in your tone and tweak it to perfection. When it comes to simplicity, the Beelzebuzz is king. Providing a serious dose of gritty distortion that borders on fuzz, the one-knob configuration allows for an extremely straightforward addition to your signal chain. Can't go wrong here!From Union:""This one knob wonder is an evil distortion whose volume and gain increase with the single control."" ",10,TRUE,"https://images.reverb.com/image/upload/s--S5Yhv8OZ--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1439921240/mjeeengcc9hpoqih2o9q.jpg",premium,Distortion,Canada
Brothers Analog Gainstage,328,Chase Bliss Audio,"A pairing of JFET and IC analog channels sits at the center of the Chase Bliss Audio Brothers, a mile-high tone stack packing six individual overdrive, boost, and fuzz circuits. Created in tandem with Resonant Electronic, the Brothers' A and B channels can operate independently, feed into one another, or run in parallel to color and adjust unique circuit pairings along with 16 side-mounted expression switches to produce gated fuzzes, pristine boosts, Tejas-style overdrives, and plenty more. Pair with the Faves preset pedal to recall your favorites on the fly while keeping your signal all analog.",10,FALSE,"https://images.reverb.com/image/upload/s--QbMYu9g1--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1487632813/fta9cjshfguqpvrpofm2.jpg",premium,Overdrive,United States
DIG Dual Digital Delay,371,Strymon,"The Strymon DIG Dual Digital Delay merges modern functionality with classic digital delays, featuring a master and companion delay that can work together or run independently. The DIG offers an adjustable Modulation Depth switch as well as three different digital delay modes, each emulating a famous rackmount digital delay unit: the adaptive delta modulation (ADM) mode of early 1980s units, the 12-bit pulse code modulation mode of mid-1980s units, and the 24-bit/96kHz resolution mode of modern units. Both delay voices share the Repeat knob, but each has its own Time and Mix knob, with the companion delay time able to be set either in free-running mode or in an adjustable ratio to the master delay. The delays can be set up in series, parallel, or ping-pong mode, which are accessible along with free-running mode as secondary functions. When combined with the true-bypass design, expression pedal input, mono/stereo outputs, and tap tempo footswitch, the DIG becomes a formidable tool for musicians who want to bring studio-quality digital delay to the stage.",200,FALSE,"https://images.reverb.com/image/upload/s--YZm95FOC--/f_auto,t_supersize/v1587485501/h9wtjngbq1eygyk1mcfn.jpg",premium,Delay,United States
Andromeda Dynamic Delay,330,Seymour Duncan,"Whether you prefer the sound of lush analog delays, vibey tape echoes, pristine digital repeats or some unique blend of the three, Andromeda has you covered with eight delay types including Normal, Ping Pong, Reverse and Reverse Pong. Once you select your delay type, you can further modify it with the Tone knob (to brighten or darken the repeats), the Saturation control (to add some of the grit and grind that the classic tape machines provided) and the Modulation knob (for gorgeous chorus or vibrato on the echoed signal). This provides a tremendous amount of tonal options—especially when you add functions like Tap Tempo (with four rhythmic subdivisions) and a selectable Trails feature, which allows the echoes to decay naturally when Andromeda is bypassed. The exclusive Dynamic Expression feature allows you to control how the pedal reacts, in real time with your picking attack. That means you can alter settings for Mix, Modulation or Saturation on the fly, just by how you play. ",200,FALSE,"https://images.reverb.com/image/upload/s--MyIm0GmM--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1491918658/bfpdtlrk1cbhnhqf2rcs.jpg",premium,Delay,United States
